2023-11-13 00:09:39.706 INFO  [restartedMain] [o.s.b.w.embedded.tomcat.TomcatWebServer] - Tomcat started on port(s): 8086 (http) with context path ''
2023-11-13 00:09:39.717 INFO  [restartedMain] [com.chunjae.pro05.Pro05Application] - Started Pro05Application in 1.863 seconds (JVM running for 2.372)
2023-11-13 00:09:45.176 INFO  [http-nio-8086-exec-1] [o.a.c.c.C.[Tomcat].[localhost].[/]] - Initializing Spring DispatcherServlet 'dispatcherServlet'
2023-11-13 00:09:45.177 INFO  [http-nio-8086-exec-1] [o.s.web.servlet.DispatcherServlet] - Initializing Servlet 'dispatcherServlet'
2023-11-13 00:09:45.177 INFO  [http-nio-8086-exec-1] [o.s.web.servlet.DispatcherServlet] - Completed initialization in 0 ms
2023-11-13 00:09:45.220 INFO  [http-nio-8086-exec-1] [com.zaxxer.hikari.HikariDataSource] - HikariPool-1 - Starting...
2023-11-13 00:09:45.282 INFO  [http-nio-8086-exec-1] [com.zaxxer.hikari.HikariDataSource] - HikariPool-1 - Start completed.
2023-11-13 00:10:48.030 INFO  [SpringApplicationShutdownHook] [com.zaxxer.hikari.HikariDataSource] - HikariPool-1 - Shutdown initiated...
2023-11-13 00:10:48.032 INFO  [SpringApplicationShutdownHook] [com.zaxxer.hikari.HikariDataSource] - HikariPool-1 - Shutdown completed.
2023-11-13 00:10:54.141 INFO  [restartedMain] [com.chunjae.pro05.Pro05Application] - Starting Pro05Application using Java 17.0.8 on DESKTOP-7L0EMP8 with PID 10132 (D:\github\project05\pro05\build\classes\java\main started by tlsdp in D:\github\project05\pro05)
2023-11-13 00:10:54.144 INFO  [restartedMain] [com.chunjae.pro05.Pro05Application] - The following 1 profile is active: "local"
2023-11-13 00:10:54.354 INFO  [restartedMain] [o.s.b.d.e.DevToolsPropertyDefaultsPostProcessor] - Devtools property defaults active! Set 'spring.devtools.add-properties' to 'false' to disable
2023-11-13 00:10:54.354 INFO  [restartedMain] [o.s.b.d.e.DevToolsPropertyDefaultsPostProcessor] - For additional web related logging consider setting the 'logging.level.web' property to 'DEBUG'
2023-11-13 00:10:55.087 INFO  [restartedMain] [o.s.b.w.embedded.tomcat.TomcatWebServer] - Tomcat initialized with port(s): 8086 (http)
2023-11-13 00:10:55.092 INFO  [restartedMain] [o.apache.coyote.http11.Http11NioProtocol] - Initializing ProtocolHandler ["http-nio-8086"]
2023-11-13 00:10:55.092 INFO  [restartedMain] [org.apache.catalina.core.StandardService] - Starting service [Tomcat]
2023-11-13 00:10:55.093 INFO  [restartedMain] [org.apache.catalina.core.StandardEngine] - Starting Servlet engine: [Apache Tomcat/9.0.82]
2023-11-13 00:10:55.282 INFO  [restartedMain] [o.a.c.c.C.[Tomcat].[localhost].[/]] - Initializing Spring embedded WebApplicationContext
2023-11-13 00:10:55.282 INFO  [restartedMain] [o.s.b.w.s.c.ServletWebServerApplicationContext] - Root WebApplicationContext: initialization completed in 928 ms
2023-11-13 00:10:55.905 INFO  [restartedMain] [o.s.s.web.DefaultSecurityFilterChain] - Will secure any request with [org.springframework.security.web.session.DisableEncodeUrlFilter@57b22fe3, org.springframework.security.web.context.request.async.WebAsyncManagerIntegrationFilter@325be8c4, org.springframework.security.web.context.SecurityContextPersistenceFilter@20dd5e3f, org.springframework.security.web.header.HeaderWriterFilter@3ebd30d9, org.springframework.security.web.authentication.logout.LogoutFilter@2a8d3c30, org.springframework.security.web.authentication.UsernamePasswordAuthenticationFilter@47044110, org.springframework.security.web.session.ConcurrentSessionFilter@4370a6d3, org.springframework.security.web.savedrequest.RequestCacheAwareFilter@47f7865, org.springframework.security.web.servletapi.SecurityContextHolderAwareRequestFilter@76613f58, org.springframework.security.web.authentication.AnonymousAuthenticationFilter@3cc9cb82, org.springframework.security.web.session.SessionManagementFilter@3b63770f, org.springframework.security.web.access.ExceptionTranslationFilter@ab46fb0, org.springframework.security.web.access.intercept.FilterSecurityInterceptor@2cf9ab42]
2023-11-13 00:10:56.209 INFO  [restartedMain] [o.s.b.d.a.OptionalLiveReloadServer] - LiveReload server is running on port 35729
2023-11-13 00:10:56.226 INFO  [restartedMain] [o.apache.coyote.http11.Http11NioProtocol] - Starting ProtocolHandler ["http-nio-8086"]
2023-11-13 00:10:56.241 INFO  [restartedMain] [o.s.b.w.embedded.tomcat.TomcatWebServer] - Tomcat started on port(s): 8086 (http) with context path ''
2023-11-13 00:10:56.256 INFO  [restartedMain] [com.chunjae.pro05.Pro05Application] - Started Pro05Application in 2.382 seconds (JVM running for 3.105)
2023-11-13 00:11:04.458 INFO  [http-nio-8086-exec-1] [o.a.c.c.C.[Tomcat].[localhost].[/]] - Initializing Spring DispatcherServlet 'dispatcherServlet'
2023-11-13 00:11:04.458 INFO  [http-nio-8086-exec-1] [o.s.web.servlet.DispatcherServlet] - Initializing Servlet 'dispatcherServlet'
2023-11-13 00:11:04.459 INFO  [http-nio-8086-exec-1] [o.s.web.servlet.DispatcherServlet] - Completed initialization in 1 ms
2023-11-13 00:11:04.517 INFO  [http-nio-8086-exec-1] [com.zaxxer.hikari.HikariDataSource] - HikariPool-1 - Starting...
2023-11-13 00:11:04.579 INFO  [http-nio-8086-exec-1] [com.zaxxer.hikari.HikariDataSource] - HikariPool-1 - Start completed.
2023-11-13 00:11:04.895 ERROR [http-nio-8086-exec-1] [org.thymeleaf.TemplateEngine] - [THYMELEAF][http-nio-8086-exec-1] Exception processing template "trade/tradeEdit": An error happened during template parsing (template: "class path resource [templates/trade/tradeEdit.html]")
org.thymeleaf.exceptions.TemplateInputException: An error happened during template parsing (template: "class path resource [templates/trade/tradeEdit.html]")
	at org.thymeleaf.templateparser.markup.AbstractMarkupTemplateParser.parse(AbstractMarkupTemplateParser.java:241)
